"id","part","created_at","updated_at"
"2","Panjian With Handle","2023-11-01 23:49:51","2023-11-01 23:49:51"
"3","Shovel","2023-11-01 23:49:51","2023-11-01 23:49:51"
"4","DISTRIBUTOR COIL COMPLETE SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"5","DOOR LOCK INNER L+R SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"6","OIL PUMP SUZUKI + FAW","2023-11-01 23:49:51","2023-11-01 23:49:51"
"7","FUEL GAUGE SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"8","AIR FILTER FAW","2023-11-01 23:49:51","2023-11-01 23:49:51"
"9","SLOVER SWITCH SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"10","REAR DOOR LOCK DIGGI SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"11","OIL GAUGE SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"12","TIMING BEARING SUZUKI + FAW","2023-11-01 23:49:51","2023-11-01 23:49:51"
"13","ENGINE IGNITION COIL MIC-2000","2023-11-01 23:49:51","2023-11-01 23:49:51"
"14","PETROL TANK COVER SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"15","DISTRIBUTOR ROTOR SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"16","DISTRIBUTOR CUP LOWER SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"17","DISTRIBUTOR CAP SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"18","RADIATOR CAP R123 SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"19","THROTTLE PISTON SENSOR SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"20","TEFLON STEERING BUSH SUZUKI + FAW","2023-11-01 23:49:51","2023-11-01 23:49:51"
"21","FUEL PUMP SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"22","SHAFT CROSS SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
"23","SILENCER RUBBER SUZUKI","2023-11-01 23:49:51","2023-11-01 23:49:51"
