"id","number","vtown","category","condition","status","entry_date"
"2","A-70-LEG-3695","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"3","A-73-LEG-3698","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"4","HA-16","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"5","HA-20","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"6","HA-36","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"7","ISA-267","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"8","ISA-271","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"9","ISA-272","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"10","ISA-273","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"11","ISA-297","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"12","ISA-301","Allama Iqbal Town","Arm Roll","Old","Active","2023-05-27"
"13","A-66-LEG-3691","Aziz Bhatti Town","Arm Roll","Old","Active","2023-05-27"
"14","A-75","Aziz Bhatti Town","Arm Roll","Old","Active","2023-05-27"
"15","HA-19","Aziz Bhatti Town","Arm Roll","Old","Active","2023-05-27"
"16","HA-22","Aziz Bhatti Town","Arm Roll","Old","Active","2023-05-27"
"17","HA-24","Aziz Bhatti Town","Arm Roll","Old","Active","2023-05-27"
"18","HA-25","Aziz Bhatti Town","Arm Roll","Old","Active","2023-05-27"
"19","ISA-299","Aziz Bhatti Town","Arm Roll","Old","Active","2023-05-27"
"20","HA-32","DGBT","Arm Roll","Old","Active","2023-05-27"
"21","HA-33","DGBT","Arm Roll","Old","Active","2023-05-27"
"22","HA-38","DGBT","Arm Roll","Old","Active","2023-05-27"
"23","HA-26","Gulberg Town","Arm Roll","Old","Active","2023-05-27"
"24","HA-27","Gulberg Town","Arm Roll","Old","Active","2023-05-27"
"25","HA-28","Gulberg Town","Arm Roll","Old","Active","2023-05-27"
"26","HA-29","Gulberg Town","Arm Roll","Old","Active","2023-05-27"
"27","HA-34","Gulberg Town","Arm Roll","Old","Active","2023-05-27"
"28","HA-35","Gulberg Town","Arm Roll","Old","Active","2023-05-27"
"29","A-59-LEG-3704","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"30","A-62-LEG-3707","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"31","HA-07","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"32","HA-30","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"33","HA-31","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"34","HA-49","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"35","ISA-282","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"36","ISA-285","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"37","ISA-286","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"38","ISA-290","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"39","ISA-292","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"40","ISA-295","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"41","ISA-296","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"42","ISA-304","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"43","ISA-305","Nishter Town","Arm Roll","Old","Active","2023-05-27"
"44","HA-01L","Ravi Town","Arm Roll","Old","Active","2023-05-27"
"45","HA-02L","Ravi Town","Arm Roll","Old","Active","2023-05-27"
"46","HA-04","Ravi Town","Arm Roll","Old","Active","2023-05-27"
"47","HA-05","Ravi Town","Arm Roll","Old","Active","2023-05-27"
"48","HA-06","Ravi Town","Arm Roll","Old","Active","2023-05-27"
"49","HA-08","Ravi Town","Arm Roll","Old","Active","2023-05-27"
"50","ISA-289","Ravi Town","Arm Roll","Old","Active","2023-05-27"
"51","ISA-302","Ravi Town","Arm Roll","Old","Active","2023-05-27"
"52","HA-11","Ring Road","Arm Roll","Old","Active","2023-05-27"
"53","HA-13","Ring Road","Arm Roll","Old","Active","2023-05-27"
"54","HA-15","Ring Road","Arm Roll","Old","Active","2023-05-27"
"55","HA-41","Ring Road","Arm Roll","Old","Active","2023-05-27"
"56","ISA-268","Ring Road","Arm Roll","Old","Active","2023-05-27"
"57","ISA-274","Ring Road","Arm Roll","Old","Active","2023-05-27"
"58","HA-39","Samanabad Town","Arm Roll","Old","Active","2023-05-27"
"59","HA-40","Samanabad Town","Arm Roll","Old","Active","2023-05-27"
"60","HA-45","Samanabad Town","Arm Roll","Old","Active","2023-05-27"
"61","HA-46","Samanabad Town","Arm Roll","Old","Active","2023-05-27"
"62","HA-47","Samanabad Town","Arm Roll","Old","Active","2023-05-27"
"63","HA-48","Samanabad Town","Arm Roll","Old","Active","2023-05-27"
"64","ISA-278","Samanabad Town","Arm Roll","Old","Active","2023-05-27"
"65","A-77 (LEG-3702)","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"66","HA-09","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"67","HA-12","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"68","HA-14","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"69","HA-18","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"70","HA-37","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"71","ISA-269","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"72","ISA-275","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"73","ISA-303","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"74","ISA-306","Shalimar Town","Arm Roll","Old","Active","2023-05-27"
"75","A-65-LEG-3690","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"76","HA-03L","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"77","HA-21","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"78","HA-23","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"79","HA-43","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"80","HA-44","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"81","ISA-277","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"82","ISA-279","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"83","ISA-280","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"84","ISA-298","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"85","ISA-300","Wahga Town","Arm Roll","Old","Active","2023-05-27"
"86","C05-293","Allama Iqbal Town","Chain Arm Roll","Old","Active","2023-05-27"
"87","CA-112","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"88","CA-114","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"89","CA-122","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"90","CA-146","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"91","CA-147","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"92","CA-160","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"93","CA-161","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"94","CA-79","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"95","CA-80","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"96","CA-85","Allama Iqbal Town","Chain Arm Roll","New","Active","2023-05-27"
"97","C05-123","Aziz Bhatti Town","Chain Arm Roll","Old","Active","2023-05-27"
"98","C05-125","Aziz Bhatti Town","Chain Arm Roll","Old","Active","2023-05-27"
"99","CA-111","Aziz Bhatti Town","Chain Arm Roll","New","Active","2023-05-27"
"100","CA-115","Aziz Bhatti Town","Chain Arm Roll","New","Active","2023-05-27"
"101","CA-144","Aziz Bhatti Town","Chain Arm Roll","New","Active","2023-05-27"
"102","CA-145","Aziz Bhatti Town","Chain Arm Roll","New","Active","2023-05-27"
"103","CA-148","Aziz Bhatti Town","Chain Arm Roll","New","Active","2023-05-27"
"104","C05-140","DGBT","Chain Arm Roll","Old","Active","2023-05-27"
"105","C05-287","DGBT","Chain Arm Roll","Old","Active","2023-05-27"
"106","C-159","DGBT","Chain Arm Roll","New","Active","2023-05-27"
"107","C-164","DGBT","Chain Arm Roll","New","Active","2023-05-27"
"108","C-86","DGBT","Chain Arm Roll","New","Active","2023-05-27"
"109","C-89","DGBT","Chain Arm Roll","New","Active","2023-05-27"
"110","CA-119","DGBT","Chain Arm Roll","New","Active","2023-05-27"
